customer_city,customer_state,product_category_name_english,total_orders,avg_payment_value,avg_payment_installments,avg_freight_value,avg_price,avg_products_ordered
brasileia,AC,computers_accessories,1,139.530000,6.0000,26.610000,19.900000,1
"cruzeiro do sul",AC,telephony,1,905.930000,1.0000,65.940000,839.990000,1
"cruzeiro do sul",AC,housewares,1,90.280000,1.0000,42.380000,47.900000,1
"cruzeiro do sul",AC,christmas_supplies,1,130.850000,1.0000,60.950000,69.900000,1
epitaciolandia,AC,sports_leisure,1,139.520000,2.0000,47.180000,92.340000,1
"manoel urbano",AC,sports_leisure,1,248.710000,1.0000,53.720000,194.990000,1
"porto acre",AC,fashion_shoes,1,104.350000,3.0000,29.450000,74.900000,1
"rio branco",AC,furniture_decor,7,438.435833,3.1667,35.855000,109.703333,7
"senador guiomard",AC,housewares,1,446.180000,7.0000,45.100000,177.990000,1
"senador guiomard",AC,small_appliances,1,100.910000,1.0000,46.910000,54.000000,1
xapuri,AC,sports_leisure,1,147.590000,3.0000,48.600000,98.990000,1
xapuri,AC,baby,1,298.300000,3.0000,108.360000,189.940000,1
"agua branca",AL,computers_accessories,1,132.100000,1.0000,34.150000,31.900000,1
anadia,AL,health_beauty,1,398.460000,8.0000,48.560000,349.900000,1
anadia,AL,telephony,1,64.140000,5.0000,34.150000,29.990000,1
arapiraca,AL,computers_accessories,6,207.544286,6.0000,35.647143,157.982857,6
atalaia,AL,auto,1,137.650000,10.0000,48.070000,89.580000,1
"barra de santo antonio",AL,health_beauty,1,313.360000,3.0000,26.360000,287.000000,1
"barra de santo antonio",AL,telephony,1,315.760000,1.0000,35.760000,280.000000,1
"barra de sao miguel",AL,health_beauty,1,58.190000,3.0000,32.200000,25.990000,1
"barra de sao miguel",AL,bed_bath_table,1,168.450000,10.0000,38.460000,129.990000,1
batalha,AL,perfumery,1,91.190000,3.0000,34.200000,56.990000,1
batalha,AL,health_beauty,1,80.770000,2.0000,20.870000,59.900000,1
batalha,AL,stationery,1,136.140000,4.0000,38.240000,97.900000,1
belem,AL,consoles_games,1,486.950000,6.0000,36.950000,450.000000,1
belem,AL,health_beauty,1,40.790000,4.0000,20.800000,19.990000,1
"boca da mata",AL,baby,1,171.320000,3.0000,51.340000,119.980000,1
"boca da mata",AL,auto,1,126.710000,2.0000,26.960000,99.750000,1
cajueiro,AL,furniture_decor,1,138.150000,1.0000,38.250000,99.900000,1
"campo alegre",AL,cool_stuff,1,144.570000,10.0000,34.570000,110.000000,1
"campo alegre",AL,computers_accessories,1,853.390000,10.0000,44.290000,809.100000,1
canapi,AL,furniture_decor,1,377.320000,10.0000,147.320000,230.000000,1
"coite do noia",AL,stationery,1,111.010000,5.0000,21.110000,89.900000,1
"colonia leopoldina",AL,auto,1,237.430000,4.0000,23.430000,214.000000,1
"colonia leopoldina",AL,telephony,1,294.420000,4.0000,15.220000,131.990000,1
coruripe,AL,telephony,1,1063.090000,10.0000,57.540000,1005.550000,1
coruripe,AL,health_beauty,1,134.010000,2.0000,36.010000,98.000000,1
coruripe,AL,furniture_decor,1,161.990000,2.0000,43.240000,118.750000,1
"delmiro gouveia",AL,sports_leisure,2,310.130000,5.3333,40.696667,165.300000,2
"dois riachos",AL,health_beauty,1,152.250000,4.0000,47.260000,104.990000,1
"feliz deserto",AL,computers_accessories,1,160.510000,2.0000,10.610000,149.900000,1
"feliz deserto",AL,baby,1,263.240000,1.0000,103.250000,159.990000,1
"girau do ponciano",AL,consoles_games,1,74.050000,7.0000,34.150000,39.900000,1
ibateguara,AL,auto,1,54.990000,1.0000,38.990000,16.000000,1
ibateguara,AL,garden_tools,1,97.870000,9.0000,37.970000,59.900000,1
igaci,AL,home_confort,1,128.080000,4.0000,38.180000,89.900000,1
igaci,AL,audio,1,266.920000,10.0000,36.930000,229.990000,1
"igreja nova",AL,electronics,1,43.150000,1.0000,34.150000,9.000000,1
"igreja nova",AL,industry_commerce_and_business,1,272.760000,5.0000,73.760000,199.000000,1
inhapi,AL,health_beauty,1,853.220000,10.0000,43.220000,810.000000,1
inhapi,AL,auto,1,221.880000,6.0000,51.980000,169.900000,1
"jequia da praia",AL,sports_leisure,1,102.530000,1.0000,62.530000,40.000000,1
"jequia da praia",AL,watches_gifts,1,124.355000,4.0000,36.800000,211.910000,1
junqueiro,AL,health_beauty,2,232.205000,5.5000,51.760000,180.445000,2
"lagoa da canoa",AL,bed_bath_table,1,204.530000,10.0000,43.540000,160.990000,1
luziapolis,AL,watches_gifts,1,181.620000,5.0000,51.630000,129.990000,1
maceio,AL,health_beauty,32,190.149714,3.4571,30.376571,184.549143,26
"mar vermelho",AL,cool_stuff,2,344.510000,8.0000,84.520000,259.990000,1
maragogi,AL,fashion_bags_accessories,1,70.750000,2.0000,50.850000,19.900000,1
maragogi,AL,health_beauty,1,1650.560000,7.0000,53.210000,1597.350000,1
maragogi,AL,telephony,1,105.200000,1.0000,34.300000,70.900000,1
maragogi,AL,bed_bath_table,1,182.370000,10.0000,47.470000,134.900000,1
maragogi,AL,baby,1,126.650000,4.0000,52.650000,74.000000,1
maravilha,AL,furniture_decor,1,89.080000,1.0000,34.180000,54.900000,1
maravilha,AL,sports_leisure,1,208.460000,3.0000,48.560000,159.900000,1
"marechal deodoro",AL,health_beauty,1,379.200000,4.0000,29.300000,349.900000,1
maribondo,AL,computers_accessories,1,100.970000,1.0000,51.070000,49.900000,1
"mata grande",AL,luggage_accessories,1,358.280000,5.0000,34.810000,144.330000,2
"mata grande",AL,health_beauty,1,111.070000,4.0000,21.080000,89.990000,1
"matriz de camaragibe",AL,health_beauty,1,84.900000,4.0000,20.900000,64.000000,1
monteiropolis,AL,furniture_decor,1,203.430000,2.0000,43.530000,159.900000,1
murici,AL,housewares,1,84.050000,4.0000,34.150000,49.900000,1
"novo lino",AL,baby,1,114.260000,1.0000,34.360000,79.900000,1
"olho d'agua das flores",AL,health_beauty,1,125.940000,1.0000,35.950000,89.990000,1
"olho d'agua das flores",AL,drinks,1,49.640000,1.0000,34.150000,15.490000,1
"olho d'agua das flores",AL,stationery,1,170.490000,1.0000,21.490000,149.000000,1
"palmeira dos indios",AL,cool_stuff,2,170.015000,2.5000,41.065000,128.950000,2
paripueira,AL,health_beauty,1,379.200000,3.0000,29.300000,349.900000,1
"passo de camaragibe",AL,telephony,1,110.280000,1.0000,34.150000,20.990000,2
"paulo jacinto",AL,furniture_living_room,1,400.920000,1.0000,71.020000,329.900000,1
"paulo jacinto",AL,health_beauty,1,74.660000,5.0000,35.670000,38.990000,1
penedo,AL,health_beauty,2,142.735000,3.5000,36.745000,105.990000,2
penedo,AL,garden_tools,2,203.365000,4.0000,28.870000,174.495000,2
piacabucu,AL,stationery,1,167.450000,3.0000,38.450000,129.000000,1
piacabucu,AL,health_beauty,1,152.950000,4.0000,53.050000,99.900000,1
pilar,AL,sports_leisure,1,44.950000,1.0000,21.150000,23.800000,1
pilar,AL,housewares,1,54.670000,2.0000,22.670000,32.000000,1
pilar,AL,garden_tools,1,68.740000,1.0000,24.840000,43.900000,1
pindoba,AL,musical_instruments,1,420.290000,1.0000,53.290000,367.000000,1
pindoba,AL,cool_stuff,1,122.230000,3.0000,57.230000,65.000000,1
"porto calvo",AL,housewares,1,208.050000,8.0000,38.150000,169.900000,1
"porto calvo",AL,health_beauty,1,189.880000,1.0000,36.390000,153.490000,1
"porto de pedras",AL,computers_accessories,1,200.350000,2.0000,20.450000,179.900000,1
"rio largo",AL,health_beauty,2,100.360000,4.5000,20.415000,79.945000,2
"santa luzia do norte",AL,sports_leisure,1,44.950000,1.0000,21.150000,23.800000,1
"santana do ipanema",AL,sports_leisure,1,285.450000,1.0000,35.550000,249.900000,1
"santana do mundau",AL,housewares,1,213.500000,3.0000,47.850000,58.900000,1
"santana do mundau",AL,health_beauty,1,389.070000,2.0000,53.070000,336.000000,1
"santana do mundau",AL,consoles_games,1,665.440000,1.0000,66.440000,599.000000,1
"sao bras",AL,furniture_decor,1,54.740000,1.0000,24.840000,29.900000,1
"sao jose da laje",AL,watches_gifts,1,196.740000,4.0000,51.740000,145.000000,1
"sao jose da laje",AL,fashion_shoes,1,99.620000,8.0000,24.720000,74.900000,1
"sao jose da tapera",AL,fashion_bags_accessories,1,144.470000,1.0000,34.570000,109.900000,1
"sao luis do quitunde",AL,health_beauty,1,101.880000,2.0000,52.480000,49.400000,1
"sao luis do quitunde",AL,furniture_decor,1,249.670000,1.0000,59.770000,189.900000,1
"sao miguel dos campos",AL,computers_accessories,1,931.800000,10.0000,43.360000,189.590000,1
"sao miguel dos campos",AL,home_appliances,1,122.310000,5.0000,67.310000,55.000000,1
"sao sebastiao",AL,computers_accessories,1,2269.980000,1.0000,55.000000,1079.990000,1
satuba,AL,computers_accessories,1,79.880000,1.0000,34.150000,45.730000,1
satuba,AL,health_beauty,1,358.440000,8.0000,70.440000,288.000000,1
"tanque d'arca",AL,telephony,2,305.770000,4.0000,16.770000,289.000000,1
taquarana,AL,cool_stuff,1,190.430000,2.0000,43.440000,146.990000,1
"teotonio vilela",AL,telephony,2,187.450000,5.5000,34.955000,152.495000,2
"teotonio vilela",AL,sports_leisure,2,178.395000,1.0000,40.945000,137.450000,2
traipu,AL,toys,1,63.790000,1.0000,20.800000,42.990000,1
vicosa,AL,electronics,1,56.050000,1.0000,34.150000,21.900000,1
coari,AM,health_beauty,1,1259.040000,5.0000,68.390000,1190.650000,1
humaita,AM,watches_gifts,1,207.780000,3.0000,51.810000,155.970000,1
humaita,AM,consoles_games,1,141.650000,6.0000,51.060000,79.900000,1
humaita,AM,telephony,1,50.830000,2.0000,24.840000,25.990000,1
humaita,AM,health_beauty,1,58.140000,5.0000,34.150000,23.990000,1
itacoatiara,AM,telephony,1,92.980000,9.0000,17.500000,28.990000,2
manaus,AM,health_beauty,13,171.027368,3.6316,29.023158,90.054737,13
urucurituba,AM,home_appliances,1,159.890000,1.0000,38.990000,120.900000,1
urucurituba,AM,office_furniture,1,83.050000,1.0000,34.150000,48.900000,1
"laranjal do jari",AP,electronics,1,277.960000,2.0000,34.530000,104.450000,1
"laranjal do jari",AP,health_beauty,1,148.220000,1.0000,38.320000,109.900000,1
macapa,AP,health_beauty,7,162.444286,2.5714,34.618571,127.825714,7
oiapoque,AP,electronics,1,425.240000,10.0000,40.240000,385.000000,1
"porto grande",AP,garden_tools,1,64.140000,1.0000,34.150000,29.990000,1
santana,AP,fixed_telephony,2,279.763333,3.3333,24.840000,38.823333,2
santana,AP,watches_gifts,2,146.300000,1.6667,14.166667,75.633333,3
santana,AP,cool_stuff,2,181.595000,1.5000,24.595000,157.000000,2
santana,AP,health_beauty,2,216.845000,2.0000,28.895000,187.950000,2
"vitoria do jari",AP,consoles_games,1,137.270000,1.0000,51.320000,85.950000,1
abaira,BA,telephony,1,35.050000,3.0000,22.060000,12.990000,1
abaira,BA,watches_gifts,1,167.950000,7.0000,22.950000,145.000000,1
abare,BA,watches_gifts,1,166.480000,8.0000,17.480000,149.000000,1
abare,BA,auto,1,58.250000,2.0000,22.060000,36.190000,1
abrantes,BA,computers_accessories,1,200.350000,6.0000,61.350000,139.000000,1
acajutiba,BA,telephony,1,50.950000,5.0000,22.060000,28.890000,1
adustina,BA,bed_bath_table,1,102.270000,5.0000,27.470000,74.800000,1
alagoinhas,BA,telephony,5,120.098000,1.8000,15.304000,104.794000,4
alagoinhas,BA,sports_leisure,5,183.128000,2.4000,24.228000,158.900000,5
alcobaca,BA,watches_gifts,1,519.840000,8.0000,19.940000,499.900000,1
alcobaca,BA,computers_accessories,1,102.480000,1.0000,22.490000,79.990000,1
alcobaca,BA,telephony,1,314.340000,4.0000,14.350000,299.990000,1
amargosa,BA,bed_bath_table,1,71.810000,3.0000,16.820000,54.990000,1
